ID,line,path,eva_nr,category,station,state,city,zip,long,lat,arrival_plan,departure_plan,arrival_change,departure_change,arrival_delay_m,departure_delay_m,info,arrival_delay_check,departure_delay_check
1846221551217890919-2407102006-11,2,Aumühle|Wohltorf|Reinbek|Hamburg-Bergedorf|Hamburg-Nettelnburg|Hamburg-Allermöhe|Hamburg Mittlerer Landweg|Hamburg Billwerder-Moorfleet|Hamburg-Tiefstack|Hamburg-Rothenburgsort,8000908,3,Berliner Tor,Hamburg,Hamburg,20099,10.02463,53.55287,2024-07-10 20:34:00,2024-07-10 20:35:00,,,0,0,,on_time,on_time
-7250951253539911335-2407141118-1,2,,8005424,3,Schorndorf,Baden-Württemberg,Schorndorf,73614,9.52631,48.80715,,2024-07-14 11:18:00,,2024-07-14 11:18:00,0,0,Information,on_time,on_time
1959666943967644709-2407122159-5,34,Dortmund Hbf|Witten Hbf|Letmathe|Altena(Westf),8006339,5,Werdohl,Nordrhein-Westfalen,Werdohl,58791,7.757544,51.259485,2024-07-12 22:52:00,2024-07-12 22:52:00,2024-07-12 22:55:00,2024-07-12 22:55:00,3,3,,on_time,on_time
7351530836130825482-2407080433-17,2,Niedernhausen(Taunus)|Niederjosbach|Eppstein-Bremthal|Eppstein|Lorsbach|Hofheim(Taunus)|Kriftel|Frankfurt-Zeilsheim|Frankfurt-Höchst Farbwerke|Frankfurt-Höchst|Frankfurt-Nied|Frankfurt-Griesheim|Frankfurt Hbf (tief)|Frankfurt(M)Taunusanlage|Frankfurt(M)Hauptwache|Frankfurt(M)Konstablerwache,8002058,3,Frankfurt (Main) Ostendstraße,Hessen,Frankfurt am Main,60314,8.696987,50.112562,2024-07-08 05:16:00,2024-07-08 05:16:00,2024-07-08 05:16:00,2024-07-08 05:16:00,0,0,Information,on_time,on_time
4997702765753964129-2407141421-3,4,München-Trudering|München-Berg am Laim,8004134,4,München Leuchtenbergring,Bayern,München,81677,11.615986,48.13425,2024-07-14 14:27:00,2024-07-14 14:27:00,2024-07-14 14:27:00,2024-07-14 14:28:00,0,1,,on_time,on_time
4236289435269760247-2407142328-8,1,Hannover Hbf|Hannover-Nordstadt|Hannover-Leinhausen|Letter|Seelze|Dedensen-Gümmer|Wunstorf,8002634,4,Haste (Han),Niedersachsen,Haste,31559,9.389097,52.379656,2024-07-14 23:52:00,2024-07-15 00:06:00,2024-07-14 23:53:00,2024-07-15 00:06:00,1,0,,on_time,on_time
-3024514573937466131-2407132047-1,17c,,8000096,1,Stuttgart Hbf,Baden-Württemberg,Stuttgart,70173,9.181635,48.784084,,2024-07-13 20:47:00,,2024-07-13 20:47:00,0,0,,on_time,on_time
-5921742979997781539-2407090808-10,3,Frankfurt(Main)Hbf|Frankfurt-Niederrad|Frankfurt(M) Flughafen Regionalbf|Rüsselsheim|Mainz-Bischofsheim|Mainz Römisches Theater|Mainz Hbf|Ingelheim|Bad Kreuznach,8000726,4,Bad Münster am Stein,Rheinland-Pfalz,Bad Münster am Stein,55583,7.846989,49.813426,2024-07-09 09:26:00,2024-07-09 09:27:00,2024-07-09 09:26:00,2024-07-09 09:27:00,0,0,,on_time,on_time
4384390371839145436-2407131848-5,2,Dresden Flughafen|Dresden Grenzstraße|Dresden-Klotzsche|Dresden Industriegelände,8010089,2,Dresden-Neustadt,Sachsen,Dresden,1097,13.740701,51.065899,2024-07-13 19:00:00,2024-07-13 19:01:00,2024-07-13 19:01:00,2024-07-13 19:02:00,1,1,,on_time,on_time
1700275294058871327-2407111505-2,RE98,Kassel Hbf,8003200,2,Kassel-Wilhelmshöhe,Hessen,Kassel,34131,9.44711566,51.3125585,2024-07-11 15:09:00,2024-07-11 15:10:00,2024-07-11 15:09:00,2024-07-11 15:10:00,0,0,,on_time,on_time
4863702265343887721-2407101411-19,1,München Flughafen Terminal|München Flughafen Besucherpark|Neufahrn(b Freising)|Eching|Lohhof|Unterschleißheim|Oberschleißheim|München-Feldmoching|München-Fasanerie|München-Moosach|München-Laim|München Hirschgarten|München Donnersbergerbrücke|München Hackerbrücke|München Hbf (tief)|München Karlsplatz|München Marienplatz|München Isartor,8004136,3,München Rosenheimer Platz,Bayern,München,81669,11.593049,48.129168,2024-07-10 15:02:00,2024-07-10 15:02:00,2024-07-10 15:07:00,2024-07-10 15:07:00,5,5,,on_time,on_time
-4625998139013990883-2407081659-3,RE14,Essen Hbf|Essen West,8001902,5,Essen-Borbeck,Nordrhein-Westfalen,Essen,45355,6.948461,51.473103,2024-07-08 17:06:00,2024-07-08 17:07:00,2024-07-08 17:08:00,2024-07-08 17:09:00,2,2,,on_time,on_time
233878072408017084-2407092141-21,7,Ahrensfelde (S)|Berlin Mehrower Allee|Berlin Raoul-Wallenberg-Str.|Berlin-Marzahn|Berlin Poelchaustr.|Berlin Springpfuhl|Berlin-Friedrichsfelde Ost|Berlin-Lichtenberg (S)|Berlin Nöldnerplatz|Berlin Ostkreuz (S)|Berlin Warschauer Straße|Berlin Ostbahnhof (S)|Berlin Jannowitzbrücke|Berlin Alexanderplatz (S)|Berlin Hackescher Markt|Berlin Friedrichstraße (S)|Berlin Hbf (S-Bahn)|Berlin Bellevue|Berlin-Tiergarten|Berlin Zoologischer Garten (S),8089037,4,Savignyplatz,Berlin,Berlin,10623,13.319271,52.505093,2024-07-09 22:25:00,2024-07-09 22:25:00,2024-07-09 22:28:00,2024-07-09 22:29:00,3,4,,on_time,on_time
